title,artist
Make Me... (feat. G-Eazy),Britney Spears
Keeping Your Head Up,Birdy
True Colors,Zedd
Make Me Like You,Gwen Stefani
Champagne Problems,Nick Jonas
Blown,DNCE
Start,John Legend
Pep Rally,Missy Elliott
Higher,Carly Rae Jepsen
Invitation,Britney Spears
One Call Away (feat. Tyga) - Remix,Charlie Puth
Beautiful Birds (feat. Birdy),Passenger
Little Lies,Hilary Duff
Do You Wanna Come Over?,Britney Spears
BURNITUP!,Janet Jackson
Picky - Remix,Joey Montana
Behind Your Back,Nelly Furtado
Million Years Ago,Adele
Shape of You,Ed Sheeran
Closer,The Chainsmokers
Starboy,The Weeknd
Treat You Better,Shawn Mendes
That's What I Like,Bruno Mars
Let Me Love You,DJ Snake
I Feel It Coming,The Weeknd
Mercy,Shawn Mendes
Side To Side,Ariana Grande
Stay,Zedd
It Ain't Me (with Selena Gomez),Kygo
Malibu,Miley Cyrus
Something Just Like This,The Chainsmokers
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN
My Way,Calvin Harris
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled
Praying,Kesha
Despacito - Remix,Luis Fonsi
The Greatest,Sia
There for You,Martin Garrix
Paris,The Chainsmokers
Crying in the Club,Camila Cabello
Mama,Jonas Blue
Slide (feat. Frank Ocean & Migos),Calvin Harris
Swish Swish,Katy Perry
Chained To The Rhythm,Katy Perry
Cold (feat. Future),Maroon 5
Love,Lana Del Rey
Reggaetón Lento (Remix),CNCO
All I Ask,Adele
First Time,Kygo
The Cure,Lady Gaga
"How Far I'll Go - From ""Moana""",Alessia Cara
Bodak Yellow,Cardi B
Rich Love (with Seeb),OneRepublic
Tired,Alan Walker
Came Here for Love,Sigala
24K Magic,Bruno Mars
Strip That Down (feat. Quavo),Liam Payne
Cut To The Feeling,Carly Rae Jepsen
OK - Spotify Version,Robin Schulz
Bon appétit,Katy Perry
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey
Get Low (with Liam Payne),Zedd
Kissing Strangers,DNCE
Slow Hands,Niall Horan
Younger Now,Miley Cyrus
Body Moves,DNCE
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies
Angel,Fifth Harmony
Touch (feat. Kid Ink),Little Mix
We Don't Talk Anymore - DROELOE Remix,Charlie Puth
Love Incredible (feat. Camila Cabello),Cashmere Cat
No Vacancy (with Sebastián Yatra),OneRepublic
Rich Boy,Galantis
Lust for Life (with The Weeknd),Lana Del Rey
Greenlight (feat. Flo Rida & LunchMoney Lewis),Pitbull
Influence,Tove Lo
Remember I Told You,Nick Jonas
Messin' Around,Pitbull
Water Under the Bridge,Adele
Free Me,Sia
Kissing Strangers - Remix,DNCE
A L I E N S,Coldplay
One Kiss (with Dua Lipa),Calvin Harris
Havana (feat. Young Thug),Camila Cabello
I Like It,Cardi B
New Rules,Dua Lipa
There's Nothing Holdin' Me Back,Shawn Mendes
no tears left to cry,Ariana Grande
IDGAF,Dua Lipa
In My Blood,Shawn Mendes
Wolves,Selena Gomez
Dusk Till Dawn - Radio Edit,ZAYN
Attention,Charlie Puth
Electricity (with Dua Lipa),Silk City
Love On The Brain,Rihanna
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld
Silence,Marshmello
Sorry Not Sorry,Demi Lovato
Shallow - Radio Edit,Lady Gaga
These Days,Rudimental
What Lovers Do (feat. SZA),Maroon 5
Finesse - Remix; feat. Cardi B,Bruno Mars
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran
Bad At Love,Halsey
Him & I (with Halsey),G-Eazy
Friends (with BloodPop®),Justin Bieber
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled
My My My!,Troye Sivan
Capital Letters,Hailee Steinfeld
Sick Boy,The Chainsmokers
Tequila,Dan + Shay
Look What You Made Me Do,Taylor Swift
Youth (feat. Khalid),Shawn Mendes
Bad Liar,Selena Gomez
Anywhere,Rita Ora
Say Something,Justin Timberlake
Chun-Li,Nicki Minaj
Sign of the Times,Harry Styles
Familiar,Liam Payne
Let Me,ZAYN
Supernova,Ansel Elgort
Nervous,Shawn Mendes
First Time,Kygo
End Game,Taylor Swift
Mi Gente (feat. Beyoncé),J Balvin
Lemon,N.E.R.D
For You (With Rita Ora),Liam Payne
Want To,Dua Lipa
What I Need (feat. Kehlani),Hayley Kiyoko
Wait,Maroon 5
What About Us,P!nk
Kissing Strangers,DNCE
2U (feat. Justin Bieber),David Guetta
Walk On Water (feat. Beyoncé),Eminem
This Town,Niall Horan
"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",Rita Ora
MOVE TO MIAMI,Enrique Iglesias
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat
Filthy,Justin Timberlake
Never Be the Same - Radio Edit,Camila Cabello
Ferrari,Bebe Rexha
Supplies,Justin Timberlake
Boom Boom,RedOne
...Ready For It? - BloodPop® Remix,Taylor Swift
Drip (feat. Migos),Cardi B
Tell Me You Love Me - NOTD Remix,Demi Lovato
Memories,Maroon 5
Lose You To Love Me,Selena Gomez
Someone You Loved,Lewis Capaldi
Señorita,Shawn Mendes
How Do You Sleep?,Sam Smith
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran
Trampoline (with ZAYN),SHAED
Happier,Marshmello
Truth Hurts,Lizzo
Good as Hell (feat. Ariana Grande) - Remix,Lizzo
Higher Love,Kygo
Only Human,Jonas Brothers
Beautiful People (feat. Khalid),Ed Sheeran
Sucker,Jonas Brothers
Don't Call Me Up,Mabel
I Don't Care (with Justin Bieber),Ed Sheeran
Talk (feat. Disclosure),Khalid
Giant (with Rag'n'Bone Man),Calvin Harris
Takeaway,The Chainsmokers
All Around The World (La La La),R3HAB
Girls Like You (feat. Cardi B),Maroon 5
Call You Mine,The Chainsmokers
No Guidance (feat. Drake),Chris Brown
Antisocial (with Travis Scott),Ed Sheeran
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake
Con Calma - Remix,Daddy Yankee
Find U Again (feat. Camila Cabello),Mark Ronson
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson
Kills You Slowly,The Chainsmokers
