1000187,20.571428571428573,63.42857142857143,40.0,17.142857142857142,32.57142857142857,35.714285714285715,12.0,29.857142857142858,14.285714285714286,13.285714285714286
1000188,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000189,0.0,6.0,6.0,3.0,3.0,7.0,0.0,4.0,2.0,2.0
1000190,0,0,0,0,0,0,0,0,0,0
1000191,0,0,0,0,0,0,0,0,0,0
1000192,0,0,0,0,0,0,0,0,0,0
1000193,20.6,13.8,5.6,10.9,4.2,6.9,12.5,6.8,5.6,8.7
1000194,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000195,10.7,4.9,1.5,4.8,1.6,2.9,9.3,4.8,2.3,3.4
1000196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000197,0,0,0,0,0,0,0,0,0,0
1000198,0,0,0,0,0,0,0,0,0,0
1000199,8.4,17.6,11.2,5.4,8.9,10.9,5.2,9.1,3.6,3.6
